BL_ID	ADDRESS	NAME	LON	LAT
7201	1304 Campus Dr	East Duke Building	-78.9141350985	36.0049078274
7202	1364 Campus Dr	West Duke Building	-78.9153903723	36.0049165066
7224	1316 Campus Dr	Friedl Building	-78.9142531157	36.0063832895
7251	1 Brodie Gym Dr	Art Building	-78.9171257615	36.0093406401
7261	114 S Buchanan Blvd	Smith Warehouse	-78.9147359133	36.0019741794
7501	40 Duke Medicine Cir	Duke Clinic A	-78.9372879267	36.0038793271
7506	40 Duke Medicine Cir	Duke Clinic B	-78.9351046085	36.0039964987
7507	40 Duke Medicine Cir	Duke Clinic C	-78.9369499683	36.0030634608
7508	40 Duke Medicine Cir	Duke Clinic D	-78.9359146357	36.0033368637
7512	310 Trent Dr	Trent Drive Hall	-78.9336401224	36.007220819
7513	307 Research Dr	Nanaline H. Duke Building	-78.9398145676	36.005697637
7514	2 Genome Ct	Medical Sciences Research Building II	-78.9432156086	36.0076330712
7515	2100 Erwin Rd	Pickens/Duke Family Medicine	-78.9332592487	36.0080887158
7516	203 Research Dr	Medical Sciences Research Building	-78.9407479763	36.0071644054
7530	303 Research Dr	Sands Building	-78.9401257038	36.0062183863
7531	2351 Erwin Rd	Hudson Eye Building A	-78.9391306043	36.0076894845
7534	2351 Erwin Rd	Hudson Eye Building B	-78.9392995834	36.0072186493
7540	905 S LaSalle St	Snyderman Genome Science Research Building	-78.9446398616	36.0071861029
7545	2301 Erwin Rd	Duke Hospital North A	-78.9360541105	36.0074855286
7548	2301 Erwin Rd	Duke Hospital North B	-78.9365369081	36.0074638311
7549	207 Research Dr	Edwin L. Jones Building	-78.9403939247	36.0066783787
7550	307 Trent Dr	Christine Siegler Pearson Building	-78.9354586601	36.0063268753
7560	8 Searle Center Dr	Mary Duke Biddle Trent Seamans Center	-78.9374421537	36.0053884405
7576	213 Research Dr	Clinical and Research Laboratory	-78.9396455884	36.0066631903
7579	311 Research Dr	Bryan Research Building	-78.9391493797	36.0051595258
7593	2400 Pratt St	North Pavillion	-78.9365583658	36.0114604043
7703	407 Chapel Dr	Gray Building	-78.9397770166	36.0021586205
7705	413 Chapel Dr	Languages Building	-78.9381489158	36.0021173925
7706	415 Chapel Dr	Old Chemistry	-78.9376875758	36.0027683582
7709	417 Chapel Dr	Sociology-Psychology Building	-78.9370062947	36.0024710845
7710	419 Chapel Dr	Social Sciences Building	-78.9374729991	36.0017246406
7735	101 Science Dr	Fitzpatrick Center for Interdisciplinary Engineering, Medicine, and Applied Sciences	-78.9397501945	36.0032934665
7738	124 Science Dr	French Family Science Center	-78.9435267448	36.0028464737
7739	302 Towerview Dr	Rubenstein Hall	-78.943027854	35.9991793007
7747	100 Science Dr	Hudson Hall Engineering Building	-78.9403992891	36.0040615939
7749	120 Science Dr	Physics Building	-78.9425504208	36.0032891268
7753	421 Chapel Dr	Allen Building	-78.9375320077	36.0011279145
7754	405 Research Dr	405 Research Dr	-78.9379692078	36.0045302782
7756	304 Research Dr	North Building	-78.9409196377	36.0054936759
7758	130 Science Dr	Biological Sciences Building	-78.9431726933	36.0022432463
7759	210 Science Dr	Law School Building	-78.9453774691	36.0001123846
7760	100 Fuqua Dr	Ford School of Business	-78.946954608	35.9989623029
7765	140 Science Dr	Gross Hall	-78.9448034763	36.0012841487
7776	308 Research Dr	Levine Science Research Center	-78.9419603348	36.0044651833
8084	300 N Duke St	Carmichael Building	-78.906105	36.002196
8116	2200 West Main St	Erwin Square	-78.9267522097	36.0076395804
8141	2424 Erwin Rd	Hock Plaza	-78.9416009188	36.009518555
8166	800 S Duke St	Physician Assistant Program Building	-78.909779191	35.9908939
8239	501 Douglas St	501 Douglas	-78.941552639	36.0111262794
8304	2024 West Main St	Erwin Mill	-78.9234745502	36.0079194767
8329	19 TW Alexander Dr	19 TW Alexander	-78.8691705465	35.9220293709
